experiment_id,sentence,pattern,backend_label,noise_kind,noise_level,expected_indices,top_indices,overlap,success_prob
3,bolorosos bolos de bolas de bacia,bo,simulator-amplitude-high,amplitude,high,"0,10,19","12,13,29",0,0.064453
3,bolorosos bolos de bolas de bacia,bo,simulator-amplitude-very-high,amplitude,very-high,"0,10,19","4,8,12",0,0.101074
3,bolorosos bolos de bolas de bacia,bo,simulator-phase-ultra-low,phase,ultra-low,"0,10,19","0,10,19",3,0.960938
3,bolorosos bolos de bolas de bacia,bo,simulator-phase-low,phase,low,"0,10,19","0,10,19",3,0.720703
3,bolorosos bolos de bolas de bacia,bo,simulator-phase-medium,phase,medium,"0,10,19","0,10,19",3,0.240234
3,bolorosos bolos de bolas de bacia,bo,simulator-phase-high,phase,high,"0,10,19","0,10,19",3,0.127441
3,bolorosos bolos de bolas de bacia,bo,simulator-phase-very-high,phase,very-high,"0,10,19","1,13,18",0,0.091797
3,bolorosos bolos de bolas de bacia,bo,simulator-depolarizing-ultra-low,depolarizing,ultra-low,"0,10,19","0,10,19",3,0.921875
3,bolorosos bolos de bolas de bacia,bo,simulator-depolarizing-low,depolarizing,low,"0,10,19","0,10,19",3,0.435059
3,bolorosos bolos de bolas de bacia,bo,simulator-depolarizing-medium,depolarizing,medium,"0,10,19","7,10,18",1,0.104004
3,bolorosos bolos de bolas de bacia,bo,simulator-depolarizing-high,depolarizing,high,"0,10,19","1,13,18",0,0.091797
3,bolorosos bolos de bolas de bacia,bo,simulator-depolarizing-very-high,depolarizing,very-high,"0,10,19","1,13,18",0,0.091797
3,bolorosos bolos de bolas de bacia,bo,simulator-combined-ultra-low,combined,ultra-low,"0,10,19","0,10,19",3,0.835449
3,bolorosos bolos de bolas de bacia,bo,simulator-combined-low,combined,low,"0,10,19","0,10,19",3,0.194824
3,bolorosos bolos de bolas de bacia,bo,simulator-combined-medium,combined,medium,"0,10,19","12,13,14",0,0.076660
3,bolorosos bolos de bolas de bacia,bo,simulator-combined-high,combined,high,"0,10,19","12,13,28",0,0.080566
3,bolorosos bolos de bolas de bacia,bo,simulator-combined-very-high,combined,very-high,"0,10,19","0,9,12",1,0.101562
3,bolorosos bolos de bolas de bacia,bo,noisy-sim-ibm_fez,backend_noise,ibm_fez,"0,10,19","0,10,19",3,0.325195
3,bolorosos bolos de bolas de bacia,bo,noisy-sim-ibm_torino,backend_noise,ibm_torino,"0,10,19","0,10,19",3,0.393066
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,ideal-simulator,ideal,none,"4,54,97","4,54,97",3,0.983887
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,simulator-amplitude-ultra-low,amplitude,ultra-low,"4,54,97","4,54,97",3,0.662598
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,simulator-amplitude-low,amplitude,low,"4,54,97","56,65,97",1,0.038086
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,simulator-amplitude-medium,amplitude,medium,"4,54,97","46,47,63",0,0.025391
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,simulator-amplitude-high,amplitude,high,"4,54,97","4,39,40",1,0.030273
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,simulator-amplitude-very-high,amplitude,very-high,"4,54,97","0,16,28",0,0.024902
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,simulator-phase-ultra-low,phase,ultra-low,"4,54,97","4,54,97",3,0.845703
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,simulator-phase-low,phase,low,"4,54,97","4,54,97",3,0.219727
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,simulator-phase-medium,phase,medium,"4,54,97","54,59,94",1,0.030762
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,simulator-phase-high,phase,high,"4,54,97","55,72,94",0,0.027344
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,simulator-phase-very-high,phase,very-high,"4,54,97","55,72,94",0,0.027344
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,simulator-depolarizing-ultra-low,depolarizing,ultra-low,"4,54,97","4,54,97",3,0.624512
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,simulator-depolarizing-low,depolarizing,low,"4,54,97","4,54,94",2,0.039062
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,simulator-depolarizing-medium,depolarizing,medium,"4,54,97","55,72,94",0,0.027344
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,simulator-depolarizing-high,depolarizing,high,"4,54,97","55,72,94",0,0.027344
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,simulator-depolarizing-very-high,depolarizing,very-high,"4,54,97","55,72,94",0,0.027344
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,simulator-combined-ultra-low,combined,ultra-low,"4,54,97","4,54,97",3,0.365234
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,simulator-combined-low,combined,low,"4,54,97","54,55,63",1,0.027832
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,simulator-combined-medium,combined,medium,"4,54,97","4,14,47",1,0.026367
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,simulator-combined-high,combined,high,"4,54,97","5,32,44",0,0.026855
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,simulator-combined-very-high,combined,very-high,"4,54,97","0,4,38",1,0.036621
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,noisy-sim-ibm_fez,backend_noise,ibm_fez,"4,54,97","51,56,106",0,0.028809
4,meu nome completo e sergio de vasconcelos filho mas o nome completo do professor e fernando maciano de paula neto,no,noisy-sim-ibm_torino,backend_noise,ibm_torino,"4,54,97","53,68,107",0,0.029785
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,ideal-simulator,ideal,none,"9,15,46","9,15,46",3,0.985840
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,simulator-amplitude-ultra-low,amplitude,ultra-low,"9,15,46","9,15,46",3,0.628906
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,simulator-amplitude-low,amplitude,low,"9,15,46","69,84,112",0,0.033203
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,simulator-amplitude-medium,amplitude,medium,"9,15,46","80,84,112",0,0.014648
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,simulator-amplitude-high,amplitude,high,"9,15,46","64,67,80",0,0.016602
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,simulator-amplitude-very-high,amplitude,very-high,"9,15,46","0,4,64",0,0.013184
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,simulator-phase-ultra-low,phase,ultra-low,"9,15,46","9,15,46",3,0.838379
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,simulator-phase-low,phase,low,"9,15,46","9,15,46",3,0.212891
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,simulator-phase-medium,phase,medium,"9,15,46","31,54,69",0,0.023926
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,simulator-phase-high,phase,high,"9,15,46","31,55,94",0,0.025391
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,simulator-phase-very-high,phase,very-high,"9,15,46","55,72,94",0,0.024902
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,simulator-depolarizing-ultra-low,depolarizing,ultra-low,"9,15,46","9,15,46",3,0.612793
